"","token","skills_count","cuny_count","pct_skills_snippets","pct_cuny_courses"
"121","start day",1,0,0.01,0
"122","start day data",1,0,0.01,0
"123","day",2,0,0.02,0
"124","day data",1,0,0.01,0
"125","day data scientist",1,0,0.01,0
"126","data scientist vs",2,0,0.02,0
"127","scientist vs",2,0,0.02,0
"128","scientist vs machine",1,0,0.01,0
"129","vs",2,0,0.02,0
"130","vs machine",1,0,0.01,0
"131","vs machine learning",1,0,0.01,0
"132","machine learning engineer",1,0,0.01,0
"133","learning engineer",1,0,0.01,0
"134","learning engineer skills",1,0,0.01,0
"135","engineer",1,0,0.01,0
"136","engineer skills",1,0,0.01,0
"137","engineer skills difference",1,0,0.01,0
"138","skills difference",1,0,0.01,0
"139","skills difference python",1,0,0.01,0
"140","difference",1,0,0.01,0
"141","difference python",1,0,0.01,0
"142","difference python r",1,0,0.01,0
"143","python",16,1,0.16,0.0526315789473684
"144","python r",3,0,0.03,0
"145","python r jupyter",2,0,0.02,0
"146","r",9,1,0.09,0.0526315789473684
"147","r jupyter",2,0,0.02,0
"148","r jupyter notebook",2,0,0.02,0
"149","jupyter",2,0,0.02,0
"150","jupyter notebook",2,0,0.02,0
"151","jupyter notebook sql",1,0,0.01,0
"152","notebook",2,0,0.02,0
"153","notebook sql",1,0,0.01,0
"154","notebook sql aws",1,0,0.01,0
"155","sql",9,0,0.09,0
"156","sql aws",1,0,0.01,0
"157","sql aws azure",1,0,0.01,0
"158","aws",2,0,0.02,0
"159","aws azure",1,0,0.01,0
"160","aws azure docker",1,0,0.01,0
"161","azure",1,0,0.01,0
"162","azure docker",1,0,0.01,0
"163","azure docker airflow",1,0,0.01,0
"164","docker",1,0,0.01,0
"165","docker airflow",1,0,0.01,0
"166","docker airflow fall",1,0,0.01,0
"167","airflow",1,0,0.01,0
"168","airflow fall",1,0,0.01,0
"169","airflow fall analyzed",1,0,0.01,0
"170","fall",1,0,0.01,0
"171","fall analyzed",1,0,0.01,0
"172","fall analyzed demand",1,0,0.01,0
"173","analyzed",1,0,0.01,0
"174","analyzed demand",1,0,0.01,0
"175","analyzed demand skills",1,0,0.01,0
"176","demand skills technologies",1,0,0.01,0
"177","skills technologies",1,0,0.01,0
"178","skills technologies data",1,0,0.01,0
"179","technologies",2,0,0.02,0
"180","technologies data",1,0,0.01,0
"181","technologies data scientists",1,0,0.01,0
"182","data scientists article",1,0,0.01,0
"183","scientists article",1,0,0.01,0
"184","scientists article resonated",1,0,0.01,0
"185","article",8,0,0.08,0
"186","article resonated",1,0,0.01,0
"187","article resonated folks",1,0,0.01,0
"188","resonated",1,0,0.01,0
"189","resonated folks",1,0,0.01,0
"190","resonated folks essential",1,0,0.01,0
"191","folks",1,0,0.01,0
"192","folks essential",1,0,0.01,0
"193","folks essential skills",1,0,0.01,0
"194","essential",4,1,0.04,0.0526315789473684
"195","essential skills",1,0,0.01,0
"196","essential skills need",1,0,0.01,0
"197","skills need",6,0,0.06,0
"198","skills need know",1,0,0.01,0
"199","need",13,0,0.13,0
"200","need know",2,0,0.02,0
"201","need know start",1,0,0.01,0
"202","know start",1,0,0.01,0
"203","know start data",1,0,0.01,0
"204","start data",1,0,0.01,0
"205","start data science",1,0,0.01,0
"206","data science mathematics",1,0,0.01,0
"207","science mathematics",1,0,0.01,0
"208","science mathematics statistics",1,0,0.01,0
"209","mathematics statistics",2,0,0.02,0
"210","mathematics statistics skills",1,0,0.01,0
"211","statistics skills",1,0,0.01,0
"212","statistics skills essential",1,0,0.01,0
"213","skills essential",1,0,0.01,0
"214","skills essential programming",1,0,0.01,0
"215","essential programming",1,0,0.01,0
"216","essential programming skills",1,0,0.01,0
"217","programming",13,8,0.13,0.421052631578947
"218","programming skills",3,0,0.03,0
"219","programming skills data",1,0,0.01,0
"220","skills data",13,0,0.13,0
"221","skills data wrangling",1,0,0.01,0
"222","data wrangling",1,1,0.01,0.0526315789473684
"223","data wrangling sql",1,0,0.01,0
"224","wrangling",1,1,0.01,0.0526315789473684
"225","wrangling sql",1,0,0.01,0
"226","wrangling sql sql",1,0,0.01,0
"227","sql sql",1,0,0.01,0
"228","sql sql universal",1,0,0.01,0
"229","sql universal",1,0,0.01,0
"230","sql universal language",1,0,0.01,0
"231","universal",1,0,0.01,0
"232","universal language",1,0,0.01,0
"233","universal language world",1,0,0.01,0
"234","language",2,2,0.02,0.105263157894737
"235","language world",1,0,0.01,0
"236","language world data",1,0,0.01,0
"237","world",2,3,0.02,0.157894736842105
"238","world data",2,0,0.02,0
"239","world data data",1,0,0.01,0
"240","data data",3,0,0.03,0
"241","data data visualizations",1,0,0.01,0
"242","data visualizations",2,0,0.02,0
"243","data visualizations storytelling",1,0,0.01,0
"244","visualizations",3,3,0.03,0.157894736842105
"245","visualizations storytelling",1,0,0.01,0
"246","visualizations storytelling think",1,0,0.01,0
"247","storytelling",1,0,0.01,0
"248","storytelling think",1,0,0.01,0
"249","storytelling think creating",1,0,0.01,0
"250","think",1,0,0.01,0
"251","think creating",1,0,0.01,0
"252","think creating data",1,0,0.01,0
"253","creating",1,0,0.01,0
"254","creating data",1,0,0.01,0
"255","creating data visualizations",1,0,0.01,0
"256","data visualizations skills",1,0,0.01,0
"257","visualizations skills",1,0,0.01,0
"258","visualizations skills based",1,0,0.01,0
"259","skills based",2,0,0.02,0
"260","skills based specialization",2,0,0.02,0
"261","based",3,2,0.03,0.105263157894737
"262","based specialization",2,0,0.02,0
"263","based specialization intended",2,0,0.02,0
"264","specialization",2,0,0.02,0
"265","specialization intended",2,0,0.02,0
"266","specialization intended learners",2,0,0.02,0
"267","intended",2,0,0.02,0
"268","intended learners",2,0,0.02,0
"269","intended learners basic",2,0,0.02,0
"270","learners",2,0,0.02,0
"271","learners basic",2,0,0.02,0
"272","learners basic python",2,0,0.02,0
"273","basic",2,8,0.02,0.421052631578947
"274","basic python",2,0,0.02,0
"275","basic python programming",1,0,0.01,0
"276","python programming",2,0,0.02,0
"277","python programming background",1,0,0.01,0
"278","programming background",1,0,0.01,0
"279","programming background want",1,0,0.01,0
"280","background",2,1,0.02,0.0526315789473684
"281","background want",1,0,0.01,0
"282","background want apply",1,0,0.01,0
"283","want",4,0,0.04,0
"284","want apply",1,0,0.01,0
"285","want apply statistical",1,0,0.01,0
"286","apply",1,3,0.01,0.157894736842105
"287","apply statistical",1,0,0.01,0
"288","apply statistical machine",1,0,0.01,0
"289","statistical",5,5,0.05,0.263157894736842
"290","statistical machine",1,0,0.01,0
"291","statistical machine learning",1,0,0.01,0
"292","machine learning just",1,0,0.01,0
"293","learning just",1,0,0.01,0
"294","learning just needed",1,0,0.01,0
"295","just needed",1,0,0.01,0
"296","just needed practical",1,0,0.01,0
"297","needed",2,0,0.02,0
"298","needed practical",1,0,0.01,0
"299","needed practical skills",1,0,0.01,0
"300","practical",1,1,0.01,0.0526315789473684
"301","practical skills",1,0,0.01,0
"302","practical skills story",1,0,0.01,0
"303","skills story",1,0,0.01,0
"304","skills story describe",1,0,0.01,0
"305","story",1,0,0.01,0
"306","story describe",1,0,0.01,0
"307","story describe different",1,0,0.01,0
"308","describe",1,0,0.01,0
"309","describe different",1,0,0.01,0
"310","describe different courses",1,0,0.01,0
"311","different",7,3,0.07,0.157894736842105
"312","different courses",1,0,0.01,0
"313","different courses took",1,0,0.01,0
"314","courses",3,0,0.03,0
"315","courses took",1,0,0.01,0
"316","courses took led",1,0,0.01,0
"317","took",1,0,0.01,0
"318","took led",1,0,0.01,0
"319","took led data",1,0,0.01,0
"320","led",2,0,0.02,0
"321","led data",1,0,0.01,0
"322","led data science",1,0,0.01,0
"323","data science job",3,0,0.03,0
"324","science job",3,0,0.03,0
"325","science job healthcare",1,0,0.01,0
"326","job healthcare",1,0,0.01,0
"327","job healthcare education",1,0,0.01,0
"328","healthcare",1,0,0.01,0
"329","healthcare education",1,0,0.01,0
"330","healthcare education r",1,0,0.01,0
"331","education",2,0,0.02,0
"332","education r",2,0,0.02,0
"333","education r programming",2,0,0.02,0
"334","r programming",2,0,0.02,0
"335","r programming python",2,0,0.02,0
"336","programming python",2,0,0.02,0
"337","programming python coding",2,0,0.02,0
"338","python coding",2,0,0.02,0
"339","python coding hadoop",2,0,0.02,0
"340","coding",5,0,0.05,0
"341","coding hadoop",2,0,0.02,0
"342","coding hadoop platform",2,0,0.02,0
"343","hadoop",3,3,0.03,0.157894736842105
"344","hadoop platform",2,0,0.02,0
"345","hadoop platform sql",2,0,0.02,0
"346","platform",2,0,0.02,0
"347","platform sql",2,0,0.02,0
"348","platform sql database",2,0,0.02,0
"349","sql database",2,0,0.02,0
"350","sql database coding",2,0,0.02,0
"351","database",3,1,0.03,0.0526315789473684
"352","database coding",2,0,0.02,0
"353","database coding apache",2,0,0.02,0
"354","coding apache",2,0,0.02,0
"355","coding apache spark",2,0,0.02,0
"356","apache",2,1,0.02,0.0526315789473684
"357","apache spark",2,1,0.02,0.0526315789473684
"358","apache spark machine",2,0,0.02,0
"359","spark",2,1,0.02,0.0526315789473684
"360","spark machine",2,0,0.02,0
"361","spark machine learning",2,0,0.02,0
"362","machine learning ai",2,0,0.02,0
"363","learning ai",2,0,0.02,0
"364","learning ai data",2,0,0.02,0
"365","ai",3,0,0.03,0
"366","ai data",2,0,0.02,0
"367","ai data python",1,0,0.01,0
"368","data python",1,0,0.01,0
"369","data python main",1,0,0.01,0
"370","python main",1,0,0.01,0
"371","python main language",1,0,0.01,0
"372","main",4,0,0.04,0
"373","main language",1,0,0.01,0
"374","main language used",1,0,0.01,0
"375","language used",1,0,0.01,0
"376","language used data",1,0,0.01,0
"377","used",2,3,0.02,0.157894736842105
"378","used data",1,0,0.01,0
"379","used data science",1,0,0.01,0
"380","data science machine",1,0,0.01,0
"381","science machine",1,0,0.01,0
"382","science machine learning",1,0,0.01,0
"383","machine learning s",0,0,0,0
"384","learning s",0,0,0,0
"385","learning s use",0,0,0,0
"386","s",9,1,0.09,0.0526315789473684
"387","s use",1,0,0.01,0
"388","s use people",1,0,0.01,0
"389","use",3,12,0.03,0.631578947368421
"390","use people",1,0,0.01,0
"391","use people using",1,0,0.01,0
"392","people",3,0,0.03,0
"393","people using",1,0,0.01,0
"394","people using r",1,0,0.01,0
"395","using",2,5,0.02,0.263157894736842
"396","using r",1,1,0.01,0.0526315789473684
"397","using r top",1,0,0.01,0
"398","r top",1,0,0.01,0
"399","r top skills",1,0,0.01,0
"400","top",8,0,0.08,0
"401","top skills",4,0,0.04,0
"402","top skills demand",1,0,0.01,0
"403","skills demand",1,0,0.01,0
"404","skills demand statistics",1,0,0.01,0
"405","demand statistics",1,0,0.01,0
"406","demand statistics knowledge",1,0,0.01,0
"407","statistics knowledge",1,0,0.01,0
"408","statistics knowledge sets",1,0,0.01,0
"409","knowledge",4,8,0.04,0.421052631578947
"410","knowledge sets",1,0,0.01,0
"411","knowledge sets solid",1,0,0.01,0
"412","sets",6,9,0.06,0.473684210526316
"413","sets solid",1,0,0.01,0
"414","sets solid foundations",1,0,0.01,0
"415","solid",1,0,0.01,0
"416","solid foundations",1,0,0.01,0
"417","solid foundations data",1,0,0.01,0
"418","foundations",2,0,0.02,0
"419","foundations data",2,0,0.02,0
"420","foundations data scientists",1,0,0.01,0
"421","data scientists job",1,0,0.01,0
"422","scientists job",1,0,0.01,0
"423","scientists job postings",1,0,0.01,0
"424","job postings required",1,0,0.01,0
"425","postings required",1,0,0.01,0
"426","postings required research",1,0,0.01,0
"427","required",7,2,0.07,0.105263157894737
"428","required research",1,0,0.01,0
"429","required research considered",1,0,0.01,0
"430","research",2,3,0.02,0.157894736842105
"431","research considered",1,0,0.01,0
"432","research considered vital",1,0,0.01,0
"433","considered",1,0,0.01,0
"434","considered vital",1,0,0.01,0
"435","considered vital skill",1,0,0.01,0
"436","vital",2,0,0.02,0
"437","vital skill",1,0,0.01,0
"438","vital skill education",1,0,0.01,0
"439","skill",17,0,0.17,0
"440","skill education",1,0,0.01,0
"441","skill education r",1,0,0.01,0
"442","ai data examples",1,0,0.01,0
"443","data examples",1,0,0.01,0
"444","data examples data",1,0,0.01,0
"445","examples",1,2,0.01,0.105263157894737
"446","examples data",1,0,0.01,0
"447","examples data scientist",1,0,0.01,0
"448","data scientist skills",2,0,0.02,0
"449","scientist skills",2,0,0.02,0
"450","scientist skills technical",1,0,0.01,0
"451","skills technical",2,0,0.02,0
"452","skills technical skills",1,0,0.01,0
"453","technical",11,0,0.11,0
"454","technical skills",4,0,0.04,0
"455","technical skills mathematical",1,0,0.01,0
"456","skills mathematical",1,0,0.01,0
"457","skills mathematical skills",1,0,0.01,0
"458","mathematical",1,2,0.01,0.105263157894737
"459","mathematical skills",1,0,0.01,0
"460","mathematical skills communication",1,0,0.01,0
"461","skills communication",2,0,0.02,0
"462","skills communication skills",1,0,0.01,0
"463","communication skills",7,0,0.07,0
"464","communication skills data",2,0,0.02,0
"465","skills data visualization",1,0,0.01,0
"466","data visualization skills",1,0,0.01,0
"467","visualization skills",1,0,0.01,0
"468","visualization skills teamwork",1,0,0.01,0
"469","skills teamwork",1,0,0.01,0
"470","skills teamwork skills",1,0,0.01,0
"471","teamwork",1,1,0.01,0.0526315789473684
"472","teamwork skills",1,0,0.01,0
"473","teamwork skills strong",1,0,0.01,0
"474","skills strong",1,0,0.01,0
"475","skills strong coding",1,0,0.01,0
"476","strong",6,0,0.06,0
"477","strong coding",1,0,0.01,0
"478","strong coding skills",1,0,0.01,0
"479","coding skills",1,0,0.01,0
"480","coding skills using",1,0,0.01,0
"481","skills using",1,0,0.01,0
"482","skills using common",1,0,0.01,0
"483","using common",1,0,0.01,0
"484","using common data",1,0,0.01,0
"485","common",2,0,0.02,0
"486","common data",1,0,0.01,0
"487","common data science",1,0,0.01,0
"488","data science tools",1,0,0.01,0
"489","science tools",1,0,0.01,0
"490","science tools python",1,0,0.01,0
"491","tools",3,1,0.03,0.0526315789473684
"492","tools python",1,0,0.01,0
"493","tools python strongly",1,0,0.01,0
"494","python strongly",1,0,0.01,0
"495","python strongly preferred",1,0,0.01,0
"496","strongly",1,0,0.01,0
"497","strongly preferred",1,0,0.01,0
"498","strongly preferred r",1,0,0.01,0
"499","preferred",1,0,0.01,0
"500","preferred r",1,0,0.01,0
"501","preferred r linux",1,0,0.01,0
"502","r linux",1,0,0.01,0
"503","r linux unix",1,0,0.01,0
"504","linux",1,0,0.01,0
"505","linux unix",1,0,0.01,0
"506","linux unix command",1,0,0.01,0
"507","unix",1,0,0.01,0
"508","unix command",1,0,0.01,0
"509","unix command line",1,0,0.01,0
"510","command",1,0,0.01,0
"511","command line",1,0,0.01,0
"512","command line shell",1,0,0.01,0
"513","line",1,0,0.01,0
"514","line shell",1,0,0.01,0
"515","line shell scripting",1,0,0.01,0
"516","shell",1,0,0.01,0
"517","shell scripting",1,0,0.01,0
"518","shell scripting etc",1,0,0.01,0
"519","scripting",1,0,0.01,0
"520","scripting etc",1,0,0.01,0
"521","scripting etc strong",1,0,0.01,0
"522","etc",2,3,0.02,0.157894736842105
"523","etc strong",1,0,0.01,0
"524","etc strong skills",1,0,0.01,0
"525","strong skills",1,0,0.01,0
"526","strong skills junior",1,0,0.01,0
"527","skills junior",1,0,0.01,0
"528","skills junior data",1,0,0.01,0
"529","junior",1,0,0.01,0
"530","junior data",1,0,0.01,0
"531","junior data scientists",1,0,0.01,0
"532","data scientists good",1,0,0.01,0
"533","scientists good",1,0,0.01,0
"534","scientists good statistical",1,0,0.01,0
"535","good",4,0,0.04,0
"536","good statistical",1,0,0.01,0
"537","good statistical skills",1,0,0.01,0
"538","statistical skills",1,0,0.01,0
"539","statistical skills senior",1,0,0.01,0
"540","skills senior",2,0,0.02,0
"541","skills senior data",2,0,0.02,0
"542","senior",2,0,0.02,0
"543","senior data",2,0,0.02,0
"544","senior data scientists",1,0,0.01,0
"545","data scientists excel",1,0,0.01,0
"546","scientists excel",1,0,0.01,0
"547","scientists excel putting",1,0,0.01,0
"548","excel",1,0,0.01,0
"549","excel putting",1,0,0.01,0
"550","excel putting models",1,0,0.01,0
"551","putting",1,0,0.01,0
"552","putting models",1,0,0.01,0
"553","putting models production",1,0,0.01,0
"554","models production",1,0,0.01,0
"555","models production principal",1,0,0.01,0
"556","production",1,0,0.01,0
"557","production principal",1,0,0.01,0
"558","production principal data",1,0,0.01,0
"559","principal",1,0,0.01,0
"560","principal data",1,0,0.01,0
"561","principal data scientists",1,0,0.01,0
"562","data scientists know",2,0,0.02,0
"563","scientists know",2,0,0.02,0
"564","scientists know create",1,0,0.01,0
"565","know create",1,0,0.01,0
"566","know create say",1,0,0.01,0
"567","create",1,2,0.01,0.105263157894737
"568","create say",1,0,0.01,0
"569","create say apart",1,0,0.01,0
"570","say",1,0,0.01,0
"571","say apart",1,0,0.01,0
"572","say apart able",1,0,0.01,0
"573","apart",1,0,0.01,0
"574","apart able",1,0,0.01,0
"575","apart able code",1,0,0.01,0
"576","able",2,0,0.02,0
"577","able code",1,0,0.01,0
"578","able code data",1,0,0.01,0
"579","code",2,0,0.02,0
"580","code data",1,0,0.01,0
"581","code data scientist",1,0,0.01,0
"582","data scientist must",2,0,0.02,0
"583","scientist must",2,0,0.02,0
"584","scientist must strong",1,0,0.01,0
"585","must",3,0,0.03,0
"586","must strong",1,0,0.01,0
"587","must strong knowledge",1,0,0.01,0
"588","strong knowledge",1,0,0.01,0
"589","strong knowledge sql",1,0,0.01,0
"590","knowledge sql",1,0,0.01,0
"591","knowledge sql derive",1,0,0.01,0
"592","sql derive",1,0,0.01,0
"593","sql derive necessary",1,0,0.01,0
"594","derive",1,0,0.01,0
"595","derive necessary",1,0,0.01,0
"596","derive necessary meaningful",1,0,0.01,0
"597","necessary",3,0,0.03,0
"598","necessary meaningful",1,0,0.01,0
"599","necessary meaningful want",1,0,0.01,0
"600","meaningful",1,0,0.01,0
"601","meaningful want",1,0,0.01,0
"602","meaningful want read",1,0,0.01,0
"603","want read",1,0,0.01,0
"604","want read data",1,0,0.01,0
"605","read",2,0,0.02,0
"606","read data",1,0,0.01,0
"607","read data science",1,0,0.01,0
"608","data science engineering",1,0,0.01,0
"609","science engineering",1,0,0.01,0
"610","science engineering article",1,0,0.01,0
"611","engineering",5,0,0.05,0
"612","engineering article",1,0,0.01,0
"613","engineering article follow",1,0,0.01,0
"614","article follow",1,0,0.01,0
"615","article follow data",1,0,0.01,0
"616","follow",1,0,0.01,0
"617","follow data",1,0,0.01,0
"618","follow data scientists",1,0,0.01,0
"619","data scientists must",1,0,0.01,0
"620","scientists must",1,0,0.01,0
"621","scientists must good",1,0,0.01,0
"622","must good",1,0,0.01,0
"623","must good communication",1,0,0.01,0
"624","good communication",1,0,0.01,0
"625","good communication skills",1,0,0.01,0
"626","communication skills present",1,0,0.01,0
"627","skills present",1,0,0.01,0
"628","skills present data",1,0,0.01,0
"629","present",1,0,0.01,0
"630","present data",1,0,0.01,0
"631","present data propose",1,0,0.01,0
"632","data propose",1,0,0.01,0
"633","data propose demonstrate",1,0,0.01,0
"634","propose",1,0,0.01,0
"635","propose demonstrate",1,0,0.01,0
"636","propose demonstrate excellent",1,0,0.01,0
"637","demonstrate",1,0,0.01,0
"638","demonstrate excellent",1,0,0.01,0
"639","demonstrate excellent communication",1,0,0.01,0
"640","excellent",3,0,0.03,0
"641","excellent communication",1,0,0.01,0
"642","excellent communication collaboration",1,0,0.01,0
"643","communication collaboration",1,0,0.01,0
"644","communication collaboration skills",1,0,0.01,0
"645","collaboration",1,1,0.01,0.0526315789473684
"646","collaboration skills",1,0,0.01,0
"647","collaboration skills can",1,0,0.01,0
"648","skills can",1,0,0.01,0
"649","skills can explain",1,0,0.01,0
"650","can",6,3,0.06,0.157894736842105
"651","can explain",1,0,0.01,0
"652","can explain work",1,0,0.01,0
"653","explain",1,1,0.01,0.0526315789473684
"654","explain work",1,0,0.01,0
"655","explain work technical",1,0,0.01,0
"656","work",4,2,0.04,0.105263157894737
"657","work technical",1,0,0.01,0
"658","work technical non",1,0,0.01,0
"659","technical non",2,0,0.02,0
"660","technical non technical",2,0,0.02,0
"661","non",2,4,0.02,0.210526315789474
"662","non technical",2,0,0.02,0
"663","non technical audiences",1,0,0.01,0
"664","technical audiences",1,0,0.01,0
"665","technical audiences data",1,0,0.01,0
"666","audiences",1,0,0.01,0
"667","audiences data",1,0,0.01,0
"668","audiences data scientist",1,0,0.01,0
"669","data scientist can",2,0,0.02,0
"670","scientist can",2,0,0.02,0
"671","scientist can expect",1,0,0.01,0
"672","can expect",1,0,0.01,0
"673","can expect use",1,0,0.01,0
"674","expect",2,0,0.02,0
"675","expect use",1,0,0.01,0
"676","expect use skills",1,0,0.01,0
"677","use skills",1,0,0.01,0
"678","use skills likely",1,0,0.01,0
"679","skills likely",1,0,0.01,0
"680","skills likely career",1,0,0.01,0
"681","likely",1,0,0.01,0
"682","likely career",1,0,0.01,0
"683","likely career outlining",1,0,0.01,0
"684","career",4,0,0.04,0
"685","career outlining",1,0,0.01,0
"686","career outlining sql",1,0,0.01,0
"687","outlining",1,0,0.01,0
"688","outlining sql",1,0,0.01,0
"689","outlining sql python",1,0,0.01,0
"690","sql python",1,0,0.01,0
"691","sql python r",1,0,0.01,0
"692","jupyter notebook visualizations",1,0,0.01,0
"693","notebook visualizations",1,0,0.01,0
"694","notebook visualizations now",1,0,0.01,0
"695","visualizations now",1,0,0.01,0
"696","visualizations now data",1,0,0.01,0
"697","now",2,0,0.02,0
"698","now data",1,0,0.01,0
"699","now data science",1,0,0.01,0
"700","data science field",2,1,0.02,0.0526315789473684
"701","science field",2,1,0.02,0.0526315789473684
"702","science field changing",1,0,0.01,0
"703","field",6,3,0.06,0.157894736842105
"704","field changing",1,0,0.01,0
"705","field changing rapidly",1,0,0.01,0
"706","changing",2,0,0.02,0
"707","changing rapidly",1,0,0.01,0
"708","changing rapidly shortage",1,0,0.01,0
"709","rapidly",1,0,0.01,0
"710","rapidly shortage",1,0,0.01,0
"711","rapidly shortage skills",1,0,0.01,0
"712","shortage",2,0,0.02,0
"713","shortage skills",1,0,0.01,0
"714","shortage skills based",1,0,0.01,0
"715","basic python feature",1,0,0.01,0
"716","python feature",1,0,0.01,0
"717","python feature selection",1,0,0.01,0
"718","feature",1,0,0.01,0
"719","feature selection",1,0,0.01,0
"720","feature selection algorithms",1,0,0.01,0
"721","selection",1,0,0.01,0
"722","selection algorithms",1,0,0.01,0
"723","selection algorithms every",1,0,0.01,0
"724","algorithms",1,4,0.01,0.210526315789474
"725","algorithms every",1,0,0.01,0
"726","algorithms every data",1,0,0.01,0
"727","every",3,0,0.03,0
"728","every data",1,0,0.01,0
"729","every data scientist",1,0,0.01,0
"730","data scientist know",1,0,0.01,0
"731","scientist know",1,0,0.01,0
"732","scientist know reasons",1,0,0.01,0
"733","know reasons",1,0,0.01,0
"734","know reasons technical",1,0,0.01,0
"735","reasons",1,0,0.01,0
"736","reasons technical",1,0,0.01,0
"737","reasons technical nontechnical",1,0,0.01,0
"738","technical nontechnical",1,0,0.01,0
"739","technical nontechnical skills",1,0,0.01,0
"740","nontechnical",1,0,0.01,0
"741","nontechnical skills",1,0,0.01,0
